,pv_generation_1_kwp,load,time
0,0.0,-132.9442,2019-01-01 00:00:00
1,0.0,-136.6978,2019-01-01 00:15:00
2,0.0,-107.0607,2019-01-01 00:30:00
3,0.0,-129.9414,2019-01-01 00:45:00
4,0.0,-147.4237,2019-01-01 01:00:00
5,0.0,-163.7668,2019-01-01 01:15:00
6,0.0,-168.0519,2019-01-01 01:30:00
7,0.0,-196.7967,2019-01-01 01:45:00
8,0.0,-197.8264,2019-01-01 02:00:00
9,0.0,-199.6342,2019-01-01 02:15:00
10,0.0,-198.9364,2019-01-01 02:30:00
11,0.0,-200.0588,2019-01-01 02:45:00
12,0.0,-200.8029,2019-01-01 03:00:00
13,0.0,-199.7942,2019-01-01 03:15:00
14,0.0,-203.2498,2019-01-01 03:30:00
15,0.0,-201.2367,2019-01-01 03:45:00
16,0.0,-200.6386,2019-01-01 04:00:00
17,0.0,-199.6544,2019-01-01 04:15:00
18,0.0,-197.5941,2019-01-01 04:30:00
19,0.0,-203.5359,2019-01-01 04:45:00
20,0.0,-202.5644,2019-01-01 05:00:00
21,0.0,-204.8626,2019-01-01 05:15:00
22,0.0,-202.0687,2019-01-01 05:30:00
23,0.0,-200.3977,2019-01-01 05:45:00
24,0.0,-202.2218,2019-01-01 06:00:00
25,0.0,-206.4922,2019-01-01 06:15:00
26,0.0,-205.5599,2019-01-01 06:30:00
27,0.0,-203.5447,2019-01-01 06:45:00
28,0.0,-209.894,2019-01-01 07:00:00
29,0.002095,-211.6088,2019-01-01 07:15:00
30,0.00419,-216.3125,2019-01-01 07:30:00
31,0.006285,-215.7077,2019-01-01 07:45:00
32,0.00838,-214.1206,2019-01-01 08:00:00
33,0.0223125,-216.3916,2019-01-01 08:15:00
34,0.036245,-218.8073,2019-01-01 08:30:00
35,0.0501775,-216.8413,2019-01-01 08:45:00
36,0.06411,-222.2889,2019-01-01 09:00:00
37,0.0624075,-215.5276,2019-01-01 09:15:00
38,0.060704999999999995,-209.9814,2019-01-01 09:30:00
39,0.0590025,-205.2597,2019-01-01 09:45:00
40,0.0573,-205.6951,2019-01-01 10:00:00
41,0.053524999999999996,-202.8652,2019-01-01 10:15:00
42,0.04975,-202.3381,2019-01-01 10:30:00
43,0.045975,-203.1815,2019-01-01 10:45:00
44,0.0422,-198.6085,2019-01-01 11:00:00
45,0.039875,-198.8547,2019-01-01 11:15:00
46,0.03755,-196.7395,2019-01-01 11:30:00
47,0.035225,-191.8168,2019-01-01 11:45:00
48,0.0329,-190.8244,2019-01-01 12:00:00
49,0.027697499999999996,-189.7236,2019-01-01 12:15:00
50,0.022494999999999998,-190.0498,2019-01-01 12:30:00
51,0.0172925,-188.5828,2019-01-01 12:45:00
52,0.01209,-182.6078,2019-01-01 13:00:00
53,0.01113,-184.6993,2019-01-01 13:15:00
54,0.01017,-183.7144,2019-01-01 13:30:00
55,0.009210000000000001,-186.9885,2019-01-01 13:45:00
56,0.00825,-184.4537,2019-01-01 14:00:00
57,0.006705,-188.8597,2019-01-01 14:15:00
58,0.0051600000000000005,-190.5472,2019-01-01 14:30:00
59,0.003615,-200.2639,2019-01-01 14:45:00
60,0.00207,-204.7598,2019-01-01 15:00:00
61,0.0015524999999999998,-206.6361,2019-01-01 15:15:00
62,0.001035,-214.3026,2019-01-01 15:30:00
63,0.0005175000000000001,-222.5128,2019-01-01 15:45:00
64,0.0,-223.1584,2019-01-01 16:00:00
65,0.0,-219.5007,2019-01-01 16:15:00
66,0.0,-224.7964,2019-01-01 16:30:00
67,0.0,-222.0913,2019-01-01 16:45:00
68,0.0,-219.6149,2019-01-01 17:00:00
69,0.0,-217.3035,2019-01-01 17:15:00
70,0.0,-222.4318,2019-01-01 17:30:00
71,0.0,-216.1569,2019-01-01 17:45:00
72,0.0,-215.365,2019-01-01 18:00:00
73,0.0,-218.0974,2019-01-01 18:15:00
74,0.0,-210.3373,2019-01-01 18:30:00
75,0.0,-198.5526,2019-01-01 18:45:00
76,0.0,-198.8554,2019-01-01 19:00:00
77,0.0,-195.7195,2019-01-01 19:15:00
78,0.0,-199.3251,2019-01-01 19:30:00
79,0.0,-196.4296,2019-01-01 19:45:00
80,0.0,-195.8759,2019-01-01 20:00:00
81,0.0,-192.8604,2019-01-01 20:15:00
82,0.0,-194.027,2019-01-01 20:30:00
83,0.0,-189.8957,2019-01-01 20:45:00
84,0.0,-188.6723,2019-01-01 21:00:00
85,0.0,-191.546,2019-01-01 21:15:00
86,0.0,-184.9413,2019-01-01 21:30:00
87,0.0,-186.8002,2019-01-01 21:45:00
88,0.0,-189.696,2019-01-01 22:00:00
89,0.0,-163.6718,2019-01-01 22:15:00
90,0.0,-183.0399,2019-01-01 22:30:00
91,0.0,-181.8292,2019-01-01 22:45:00
92,0.0,-164.3576,2019-01-01 23:00:00
93,0.0,-186.9948,2019-01-01 23:15:00
94,0.0,-186.8,2019-01-01 23:30:00
95,0.0,-183.2725,2019-01-01 23:45:00
96,0.0,-204.8334,2019-01-02 00:00:00
97,0.0,-207.9735,2019-01-02 00:15:00
98,0.0,-179.4032,2019-01-02 00:30:00
99,0.0,-166.7722,2019-01-02 00:45:00
100,0.0,-196.8081,2019-01-02 01:00:00
101,0.0,-212.9621,2019-01-02 01:15:00
102,0.0,-204.9386,2019-01-02 01:30:00
103,0.0,-196.7967,2019-01-02 01:45:00
104,0.0,-198.516,2019-01-02 02:00:00
105,0.0,-197.122,2019-01-02 02:15:00
106,0.0,-175.4485,2019-01-02 02:30:00
107,0.0,-199.4879,2019-01-02 02:45:00
108,0.0,-190.0552,2019-01-02 03:00:00
109,0.0,-174.7114,2019-01-02 03:15:00
110,0.0,-175.5322,2019-01-02 03:30:00
111,0.0,-182.932,2019-01-02 03:45:00
112,0.0,-183.5775,2019-01-02 04:00:00
113,0.0,-214.8673,2019-01-02 04:15:00
114,0.0,-191.0431,2019-01-02 04:30:00
115,0.0,-183.4409,2019-01-02 04:45:00
116,0.0,-192.2797,2019-01-02 05:00:00
117,0.0,-196.0374,2019-01-02 05:15:00
118,0.0,-202.6977,2019-01-02 05:30:00
119,0.0,-200.5347,2019-01-02 05:45:00
120,0.0,-195.8101,2019-01-02 06:00:00
121,0.0,-197.8822,2019-01-02 06:15:00
122,0.0,-205.7283,2019-01-02 06:30:00
123,0.0,-202.5353,2019-01-02 06:45:00
124,0.0,-204.3738,2019-01-02 07:00:00
125,0.006645,-207.9381,2019-01-02 07:15:00
126,0.01329,-213.7464,2019-01-02 07:30:00
127,0.019934999999999998,-216.6523,2019-01-02 07:45:00
128,0.02658,-219.7175,2019-01-02 08:00:00
129,0.0407425,-219.8575,2019-01-02 08:15:00
130,0.054905,-217.4368,2019-01-02 08:30:00
131,0.06906749999999999,-217.124,2019-01-02 08:45:00
132,0.08323,-216.8909,2019-01-02 09:00:00
133,0.07105750000000001,-211.9564,2019-01-02 09:15:00
134,0.05888500000000001,-214.8066,2019-01-02 09:30:00
135,0.0467125,-216.3289,2019-01-02 09:45:00
136,0.03454,-210.511,2019-01-02 10:00:00
137,0.0368925,-206.8294,2019-01-02 10:15:00
138,0.039245,-207.1265,2019-01-02 10:30:00
139,0.0415975,-204.3681,2019-01-02 10:45:00
140,0.04395,-204.4372,2019-01-02 11:00:00
141,0.0396625,-204.2944,2019-01-02 11:15:00
142,0.035375,-199.2954,2019-01-02 11:30:00
143,0.0310875,-201.0322,2019-01-02 11:45:00
144,0.0268,-200.6051,2019-01-02 12:00:00
145,0.0326575,-194.8451,2019-01-02 12:15:00
146,0.038515,-195.1156,2019-01-02 12:30:00
147,0.0443725,-194.661,2019-01-02 12:45:00
148,0.05023,-191.2538,2019-01-02 13:00:00
149,0.041979999999999996,-186.1589,2019-01-02 13:15:00
150,0.033729999999999996,-186.1634,2019-01-02 13:30:00
151,0.025479999999999996,-185.2614,2019-01-02 13:45:00
152,0.01723,-185.5342,2019-01-02 14:00:00
153,0.0142725,-186.3158,2019-01-02 14:15:00
154,0.011315000000000002,-185.4858,2019-01-02 14:30:00
155,0.0083575,-191.1558,2019-01-02 14:45:00
156,0.0054,-192.6248,2019-01-02 15:00:00
157,0.004050000000000001,-200.6577,2019-01-02 15:15:00
158,0.0027,-210.2357,2019-01-02 15:30:00
159,0.0013499999999999996,-218.4763,2019-01-02 15:45:00
160,0.0,-225.6641,2019-01-02 16:00:00
161,0.0,-227.023,2019-01-02 16:15:00
162,0.0,-225.2345,2019-01-02 16:30:00
163,0.0,-225.407,2019-01-02 16:45:00
164,0.0,-225.4586,2019-01-02 17:00:00
165,0.0,-225.2677,2019-01-02 17:15:00
166,0.0,-225.2426,2019-01-02 17:30:00
167,0.0,-225.0838,2019-01-02 17:45:00
168,0.0,-224.231,2019-01-02 18:00:00
169,0.0,-223.1348,2019-01-02 18:15:00
170,0.0,-218.7384,2019-01-02 18:30:00
171,0.0,-212.677,2019-01-02 18:45:00
172,0.0,-209.7855,2019-01-02 19:00:00
173,0.0,-207.6899,2019-01-02 19:15:00
174,0.0,-207.475,2019-01-02 19:30:00
175,0.0,-206.171,2019-01-02 19:45:00
176,0.0,-207.2131,2019-01-02 20:00:00
177,0.0,-207.0402,2019-01-02 20:15:00
178,0.0,-204.8098,2019-01-02 20:30:00
179,0.0,-205.5212,2019-01-02 20:45:00
180,0.0,-205.9905,2019-01-02 21:00:00
181,0.0,-204.7447,2019-01-02 21:15:00
182,0.0,-205.4409,2019-01-02 21:30:00
183,0.0,-206.1387,2019-01-02 21:45:00
184,0.0,-204.7936,2019-01-02 22:00:00
185,0.0,-205.1811,2019-01-02 22:15:00
186,0.0,-204.7936,2019-01-02 22:30:00
187,0.0,-203.3177,2019-01-02 22:45:00
188,0.0,-204.2548,2019-01-02 23:00:00
189,0.0,-203.7623,2019-01-02 23:15:00
190,0.0,-204.1406,2019-01-02 23:30:00
191,0.0,-203.7052,2019-01-02 23:45:00
192,0.0,-204.0263,2019-01-03 00:00:00
193,0.0,-204.4277,2019-01-03 00:15:00
194,0.0,-205.0561,2019-01-03 00:30:00
195,0.0,-206.6801,2019-01-03 00:45:00
196,0.0,-204.0379,2019-01-03 01:00:00
197,0.0,-201.3137,2019-01-03 01:15:00
198,0.0,-201.0983,2019-01-03 01:30:00
199,0.0,-195.8828,2019-01-03 01:45:00
200,0.0,-196.9161,2019-01-03 02:00:00
201,0.0,-197.663,2019-01-03 02:15:00
202,0.0,-192.0044,2019-01-03 02:30:00
203,0.0,-180.6138,2019-01-03 02:45:00
204,0.0,-212.3148,2019-01-03 03:00:00
205,0.0,-207.7578,2019-01-03 03:15:00
206,0.0,-196.9314,2019-01-03 03:30:00
207,0.0,-197.6864,2019-01-03 03:45:00
208,0.0,-199.9388,2019-01-03 04:00:00
209,0.0,-199.3908,2019-01-03 04:15:00
210,0.0,-200.2136,2019-01-03 04:30:00
211,0.0,-200.1183,2019-01-03 04:45:00
212,0.0,-199.2465,2019-01-03 05:00:00
213,0.0,-202.1828,2019-01-03 05:15:00
214,0.0,-202.2712,2019-01-03 05:30:00
215,0.0,-202.2183,2019-01-03 05:45:00
216,0.0,-201.5926,2019-01-03 06:00:00
217,0.0,-203.108,2019-01-03 06:15:00
218,0.0,-202.1169,2019-01-03 06:30:00
219,0.0,-203.3017,2019-01-03 06:45:00
220,0.0,-206.3732,2019-01-03 07:00:00
221,0.067525,-208.2441,2019-01-03 07:15:00
222,0.13505,-209.8393,2019-01-03 07:30:00
223,0.202575,-215.4882,2019-01-03 07:45:00
224,0.2701,-215.8877,2019-01-03 08:00:00
225,0.30201,-215.7574,2019-01-03 08:15:00
226,0.33392,-216.0577,2019-01-03 08:30:00
227,0.36583000000000004,-216.6413,2019-01-03 08:45:00
228,0.39774,-209.843,2019-01-03 09:00:00
229,0.43234500000000003,-211.2772,2019-01-03 09:15:00
230,0.46695,-208.2229,2019-01-03 09:30:00
231,0.501555,-214.2145,2019-01-03 09:45:00
232,0.53616,-215.0299,2019-01-03 10:00:00
233,0.4752075,-209.9203,2019-01-03 10:15:00
234,0.414255,-209.7393,2019-01-03 10:30:00
235,0.3533025,-228.1345,2019-01-03 10:45:00
236,0.29235,-212.1632,2019-01-03 11:00:00
237,0.271295,-211.0771,2019-01-03 11:15:00
238,0.25024,-203.1996,2019-01-03 11:30:00
239,0.229185,-225.8241,2019-01-03 11:45:00
240,0.20812999999999998,-205.1999,2019-01-03 12:00:00
241,0.20514749999999998,-220.3227,2019-01-03 12:15:00
242,0.20216499999999998,-193.2516,2019-01-03 12:30:00
243,0.1991825,-172.5833,2019-01-03 12:45:00
244,0.19619999999999999,-196.0959,2019-01-03 13:00:00
245,0.1642875,-193.6061,2019-01-03 13:15:00
246,0.132375,-168.6456,2019-01-03 13:30:00
247,0.1004625,-170.1175,2019-01-03 13:45:00
248,0.06855,-178.3235,2019-01-03 14:00:00
249,0.05292,-177.0765,2019-01-03 14:15:00
250,0.03729,-182.4785,2019-01-03 14:30:00
251,0.021659999999999995,-227.2765,2019-01-03 14:45:00
252,0.006030000000000001,-208.7981,2019-01-03 15:00:00
253,0.0045225,-236.6064,2019-01-03 15:15:00
254,0.0030150000000000003,-226.2178,2019-01-03 15:30:00
255,0.0015075000000000004,-202.9338,2019-01-03 15:45:00
256,0.0,-225.432,2019-01-03 16:00:00
257,0.0,-206.1669,2019-01-03 16:15:00
258,0.0,-196.1628,2019-01-03 16:30:00
259,0.0,-228.3479,2019-01-03 16:45:00
260,0.0,-233.0913,2019-01-03 17:00:00
261,0.0,-231.0761,2019-01-03 17:15:00
262,0.0,-199.9601,2019-01-03 17:30:00
263,0.0,-231.4581,2019-01-03 17:45:00
264,0.0,-211.3453,2019-01-03 18:00:00
265,0.0,-206.0355,2019-01-03 18:15:00
266,0.0,-222.0951,2019-01-03 18:30:00
267,0.0,-182.4118,2019-01-03 18:45:00
268,0.0,-202.4954,2019-01-03 19:00:00
269,0.0,-180.7443,2019-01-03 19:15:00
270,0.0,-176.1142,2019-01-03 19:30:00
271,0.0,-213.9043,2019-01-03 19:45:00
272,0.0,-194.4647,2019-01-03 20:00:00
273,0.0,-197.3809,2019-01-03 20:15:00
274,0.0,-192.9947,2019-01-03 20:30:00
275,0.0,-216.4835,2019-01-03 20:45:00
276,0.0,-218.6081,2019-01-03 21:00:00
277,0.0,-193.1873,2019-01-03 21:15:00
278,0.0,-200.3607,2019-01-03 21:30:00
279,0.0,-196.3463,2019-01-03 21:45:00
280,0.0,-213.1225,2019-01-03 22:00:00
281,0.0,-208.2042,2019-01-03 22:15:00
282,0.0,-189.6847,2019-01-03 22:30:00
283,0.0,-213.9212,2019-01-03 22:45:00
284,0.0,-206.8598,2019-01-03 23:00:00
285,0.0,-176.389,2019-01-03 23:15:00
286,0.0,-199.9469,2019-01-03 23:30:00
